title,rate,author
作者:[美]迈克尔·桑德尔,9.1,公正
作者:[美]ErichGamma/RichardHelm/RalphJohnson/JohnVlissides,9.1,设计模式
作者:（德）叔本华,9.1,人生的智慧
作者:[美]R·柯朗H·罗宾著/I·斯图尔特修订,9.1,什么是数学
作者:[晋]陈寿撰/[宋]裴松之注,9.2,三国志（全五册）
作者:杨显惠,9.2,夹边沟记事
作者:当年明月,9.2,明朝那些事儿（1-9）
作者:[奥］斯蒂芬・茨威格,9.2,昨日的世界
作者:萧涤非/等,9.2,唐诗鉴赏辞典
作者:幾米,9.0,星空
作者:[阿根廷]博尔赫斯,9.1,博尔赫斯小说集
作者:[美]彼得·海斯勒,9.0,江城
作者:安徒生,9.1,海的女儿
作者:[英]阿·柯南道尔,9.2,福尔摩斯探案全集（上中下）
作者:慕容引刀,9.0,让爱点亮
作者:[德]赫尔曼·黑塞,9.0,悉达多
作者:美国纽约摄影学院,9.1,美国纽约摄影学院摄影教材（上）
作者:EricS.Raymond,9.0,UNIX编程艺术
作者:[法国]马塞尔·普鲁斯特,9.1,追忆似水年华（上下册）
作者:[法]列维-斯特劳斯,9.1,忧郁的热带
作者:[美]埃里克·霍弗,9.0,狂热分子
作者:钱穆,9.1,中国历代政治得失
作者:[美]菲利普·科特勒/[美]凯文·莱恩·凯勒,9.0,营销管理
作者:谢尔・希尔弗斯坦,9.1,爱心树
作者:余华,9.1,活着
作者:尹建莉,9.0,好妈妈胜过好老师
作者:[伊朗]玛赞·莎塔碧,9.2,我在伊朗长大3
作者:[德]埃·奥·卜劳恩绘,9.1,父与子全集
作者:慕容引刀,9.0,被爱路过
作者:[日]莫莉蓟野,9.1,子猫絮语
作者:[英]乔治·奥威尔,9.2,动物农场
作者:王小波,9.0,沉默的大多数
作者:hans,9.0,阿狸·梦之城堡
作者:余华,9.1,活着
作者:[法]圣埃克苏佩里,9.0,小王子
作者:[日]东野圭吾,9.1,白夜行
作者:[英]阿加莎·克里斯蒂,9.0,东方快车谋杀案
作者:[英]奥斯丁,9.0,傲慢与偏见
作者:王小波,9.0,我的精神家园
作者:芭芭拉·德米克,9.1,我們最幸福
作者:林达,9.0,历史深处的忧虑
作者:[美]曼昆,9.0,经济学原理（上下）
出版社:少年儿童出版社,9.0,十万个为什么
作者:[奥]斯台芬·茨威格,9.0,象棋的故事
作者:王小波,9.0,沉默的大多数
作者:（日）东野圭吾,9.0,嫌疑人X的献身
作者:[清]蒲松龄著/朱其铠等校注,9.0,全本新注聊斋志异（全三册）
作者:屈原,9.0,楚辞
作者:[英]阿瑟·克拉克,9.0,2001太空漫游
作者:[美]特德·蒋,8.9,你一生的故事
作者:宫西达也,9.1,你看起来好像很好吃
作者:张乐平,9.1,三毛流浪记（全集）
作者:张乐平,9.0,三毛从军记全集
作者:[日]伊坂幸太郎,9.0,金色梦乡
作者:[美]彼得·海斯勒,9.0,寻路中国
作者:[法]米歇尔·福柯,9.1,规训与惩罚
